2015-12-01 19:38:45.8818|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("BookingSiteTest/App_Data/Booking.mdf"): Permission denied
error: unable to index file BookingSiteTest/App_Data/Booking.mdf
fatal: updating files failed
2015-11-30 21:38:10.1187|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 550 at ICommittedFileForklift.cs:59 after blocking 0.0519042s
2015-11-30 21:38:10.1187|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 551 at ICommittedFileForklift.cs:59 after waiting 4.6163745s
2015-11-30 21:38:10.2187|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 551 at ICommittedFileForklift.cs:59 after blocking 0.106285s
2015-11-30 21:38:10.2287|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 552 at ICommittedFileForklift.cs:59 after waiting 4.7210461s
2015-11-30 21:38:10.5987|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 544 at ICommittedFileForklift.cs:59 after blocking 2.8050873s
2015-11-30 21:38:10.5987|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 553 at ICommittedFileForklift.cs:59 after waiting 5.0872332s
2015-11-30 21:38:10.6387|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 552 at ICommittedFileForklift.cs:59 after blocking 0.415308s
2015-11-30 21:38:10.6387|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 554 at ICommittedFileForklift.cs:59 after waiting 5.1286453s
2015-11-30 21:38:10.6687|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 554 at ICommittedFileForklift.cs:59 after blocking 0.0248843s
2015-11-30 21:38:10.6687|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 555 at ICommittedFileForklift.cs:59 after waiting 5.1496219s
2015-11-30 21:38:11.2507|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 553 at ICommittedFileForklift.cs:59 after blocking 0.6502034s
2015-11-30 21:38:11.2507|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 556 at ICommittedFileForklift.cs:59 after waiting 5.7256262s
2015-11-30 21:38:11.2597|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 556 at ICommittedFileForklift.cs:59 after blocking 0.0086011s
2015-11-30 21:38:11.2857|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 557 at ICommittedFileForklift.cs:59 after waiting 5.7563725s
2015-11-30 21:38:11.2927|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 557 at ICommittedFileForklift.cs:59 after blocking 0.0075258s
2015-11-30 21:38:11.2927|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 558 at ICommittedFileForklift.cs:59 after waiting 5.7600647s
2015-11-30 21:38:11.3257|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 558 at ICommittedFileForklift.cs:59 after blocking 0.0324307s
2015-11-30 21:38:11.3257|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 559 at ICommittedFileForklift.cs:59 after waiting 5.7885894s
2015-11-30 21:38:11.3257|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 559 at ICommittedFileForklift.cs:59 after blocking 0.006551s
2015-11-30 21:38:11.3257|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 560 at ICommittedFileForklift.cs:59 after waiting 5.7908816s
2015-11-30 21:38:11.3387|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 560 at ICommittedFileForklift.cs:59 after blocking 0.0063171s
2015-11-30 21:38:11.3387|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 561 at ICommittedFileForklift.cs:59 after waiting 5.7930014s
2015-11-30 21:38:11.3387|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 561 at ICommittedFileForklift.cs:59 after blocking 0.0098184s
2015-11-30 21:38:11.3387|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 562 at ICommittedFileForklift.cs:59 after waiting 5.755491s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 562 at ICommittedFileForklift.cs:59 after blocking 0.0071024s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 563 at ICommittedFileForklift.cs:59 after waiting 5.7586724s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 563 at ICommittedFileForklift.cs:59 after blocking 0.0078128s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 564 at ICommittedFileForklift.cs:59 after waiting 5.7626576s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 564 at ICommittedFileForklift.cs:59 after blocking 0.0064552s
2015-11-30 21:38:11.3557|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 565 at ICommittedFileForklift.cs:59 after waiting 5.7652915s
2015-11-30 21:38:11.3747|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 565 at ICommittedFileForklift.cs:59 after blocking 0.0075823s
2015-11-30 21:38:11.3747|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 566 at ICommittedFileForklift.cs:59 after waiting 5.7690782s
2015-11-30 21:38:11.3747|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 566 at ICommittedFileForklift.cs:59 after blocking 0.006291s
2015-11-30 21:38:11.3847|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 567 at ICommittedFileForklift.cs:59 after waiting 5.7716232s
2015-11-30 21:38:11.3847|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 567 at ICommittedFileForklift.cs:59 after blocking 0.0061845s
2015-11-30 21:38:11.3847|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 568 at ICommittedFileForklift.cs:59 after waiting 5.7740432s
2015-11-30 21:38:11.3847|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 568 at ICommittedFileForklift.cs:59 after blocking 0.0068102s
2015-11-30 21:38:11.3847|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 569 at ICommittedFileForklift.cs:59 after waiting 5.7769488s
2015-11-30 21:38:11.4047|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 569 at ICommittedFileForklift.cs:59 after blocking 0.0069424s
2015-11-30 21:38:11.4047|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 570 at ICommittedFileForklift.cs:59 after waiting 5.7801161s
2015-11-30 21:38:11.4047|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 570 at ICommittedFileForklift.cs:59 after blocking 0.0069899s
2015-11-30 21:38:11.4047|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 571 at ICommittedFileForklift.cs:59 after waiting 5.7832907s
2015-11-30 21:38:11.4147|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 571 at ICommittedFileForklift.cs:59 after blocking 0.006909s
2015-11-30 21:38:11.4147|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 572 at ICommittedFileForklift.cs:59 after waiting 5.7864379s
2015-11-30 21:38:11.4147|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 572 at ICommittedFileForklift.cs:59 after blocking 0.0072089s
2015-11-30 21:38:11.4147|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 573 at ICommittedFileForklift.cs:59 after waiting 5.7897109s
2015-11-30 21:38:14.1448|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 577 at GitClient.cs:201
2015-11-30 21:38:14.1448|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 578 at RepositoryModel.cs:596
2015-11-30 21:38:14.4668|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 555 at ICommittedFileForklift.cs:59 after blocking 3.8010247s
2015-11-30 21:38:14.4668|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 574 at ICommittedFileForklift.cs:59 after waiting 8.8316572s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 574 at ICommittedFileForklift.cs:59 after blocking 0.0061327s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 575 at ICommittedFileForklift.cs:59 after waiting 8.834035s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 575 at ICommittedFileForklift.cs:59 after blocking 0.0054308s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 576 at ICommittedFileForklift.cs:59 after waiting 8.8351616s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 576 at ICommittedFileForklift.cs:59 after blocking 0.0091195s
2015-11-30 21:38:14.4768|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 577 at GitClient.cs:201 after waiting 0.347592s
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 577 at GitClient.cs:201 after blocking 0.0138224s
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 578 at RepositoryModel.cs:596 after waiting 0.3610042s
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 579 at GitClient.cs:290
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 580 at BranchSynchronizer.cs:126
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 578 at RepositoryModel.cs:596 after blocking 0.0052567s
2015-11-30 21:38:14.5068|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 579 at GitClient.cs:290 after waiting 0.0002472s
2015-11-30 21:38:14.5068|INFO|thread:51|GitEnvironment|Process set up with this SSH Agent info: 4796:/tmp/ssh-xHwMOg65jMKT/agent.5560
2015-11-30 21:38:14.5068|INFO|thread:51|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-11-30 21:38:14.5068|INFO|thread:51|ProcessWrapper|Starting: Process - FileName: 'C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: G:\Development\BookingSite\
